transaction_id,merchant_id,processor_id,transaction_type,gross_amount_cents,currency,fee_amount_cents,status,created_at
T0001,M001,P01,charge,9900,USD,317,captured,2026-07-01 14:02:00
T0002,M001,P01,charge,9900,USD,317,captured,2026-07-03 09:15:00
T0003,M001,P01,refund,-9900,USD,-317,refunded,2026-07-05 11:40:00
T0004,M002,P01,charge,29900,USD,897,captured,2026-07-01 08:00:00
T0005,M002,P01,charge,29900,USD,897,captured,2026-07-08 08:00:00
T0006,M002,P01,charge,29900,USD,897,failed,2026-07-10 08:00:00
T0007,M003,P03,charge,4900,EUR,172,captured,2026-07-02 12:00:00
T0008,M003,P03,charge,4900,EUR,172,captured,2026-07-09 12:00:00
T0009,M003,P03,charge,4900,EUR,172,captured,2026-07-16 12:00:00
T0010,M004,P02,charge,1999,USD,88,captured,2026-07-03 19:22:00
T0011,M004,P02,charge,1999,USD,88,captured,2026-07-04 19:22:00
T0012,M004,P02,charge,1999,USD,88,disputed,2026-07-05 19:22:00
T0013,M005,P03,charge,7500,GBP,255,captured,2026-07-04 10:00:00
T0014,M005,P03,charge,7500,GBP,255,captured,2026-07-11 10:00:00
T0015,M005,P03,refund,-7500,GBP,-255,refunded,2026-07-13 10:00:00
T0016,M006,P01,charge,49900,USD,1467,disputed,2026-07-05 16:45:00
T0017,M006,P01,charge,49900,USD,1467,captured,2026-07-06 16:45:00
T0018,M006,P01,charge,49900,USD,1467,captured,2026-07-12 16:45:00
T0019,M007,P04,charge,15000,USD,465,captured,2026-07-06 09:30:00
T0020,M007,P04,charge,15000,USD,465,captured,2026-07-13 09:30:00
T0021,M007,P04,charge,15000,USD,465,captured,2026-07-20 09:30:00
T0022,M008,P01,charge,2500,USD,103,captured,2026-07-07 21:12:00
T0023,M008,P01,charge,2500,USD,103,captured,2026-07-14 21:12:00
T0024,M008,P01,charge,2500,USD,103,captured,2026-07-21 21:12:00
T0025,M008,P01,charge,2500,USD,103,failed,2026-07-28 21:12:00
T0026,M009,P02,charge,3900,USD,143,captured,2026-05-01 10:00:00
T0027,M009,P02,charge,3900,USD,143,captured,2026-05-08 10:00:00
T0028,M010,P01,charge,99900,USD,2917,captured,2026-07-08 15:00:00
T0029,M010,P01,charge,99900,USD,2917,disputed,2026-07-15 15:00:00
T0030,M010,P01,charge,99900,USD,2917,captured,2026-07-22 15:00:00
T0031,M011,P02,charge,5900,USD,201,captured,2026-07-09 13:20:00
T0032,M011,P02,charge,5900,USD,201,captured,2026-07-16 13:20:00
T0033,M012,P01,charge,19900,USD,607,captured,2026-07-10 17:05:00
T0034,M012,P01,charge,19900,USD,607,captured,2026-07-17 17:05:00
T0035,M012,P01,charge,19900,USD,607,captured,2026-07-24 17:05:00
T0036,M001,P01,charge,9900,USD,317,captured,2026-07-29 14:02:00
T0037,M003,P03,charge,4900,EUR,172,captured,2026-07-23 12:00:00
T0038,M005,P03,charge,7500,GBP,255,captured,2026-07-18 10:00:00
T0039,M007,P04,charge,15000,USD,465,captured,2026-07-27 09:30:00
T0040,M002,P01,charge,29900,USD,897,captured,2026-07-15 08:00:00
