settlement_id,transaction_id,settled_amount_cents,settlement_currency,fx_rate_applied,settled_at,payout_id
S0001,T0001,9583,USD,1.0,2026-07-03 06:00:00,PO-P01-20260703
S0002,T0002,9583,USD,1.0,2026-07-05 06:00:00,PO-P01-20260705
S0003,T0003,-9583,USD,1.0,2026-07-07 06:00:00,PO-P01-20260707
S0004,T0004,29003,USD,1.0,2026-07-03 06:00:00,PO-P01-20260703
S0005,T0005,29003,USD,1.0,2026-07-10 06:00:00,PO-P01-20260710
S0006,T0007,4728,EUR,1.0,2026-07-05 06:00:00,PO-P03-20260705
S0007,T0008,4728,EUR,1.0,2026-07-12 06:00:00,PO-P03-20260712
S0008,T0009,4728,EUR,1.0,2026-07-19 06:00:00,PO-P03-20260719
S0009,T0010,1911,USD,1.0,2026-07-04 06:00:00,PO-P02-20260704
S0010,T0011,1911,USD,1.0,2026-07-05 06:00:00,PO-P02-20260705
S0011,T0013,8494,EUR,1.17245,2026-07-07 06:00:00,PO-P03-20260707
S0012,T0014,8496,EUR,1.17269,2026-07-14 06:00:00,PO-P03-20260714
S0013,T0015,-8509,EUR,1.17446,2026-07-16 06:00:00,PO-P03-20260716
S0014,T0017,48433,USD,1.0,2026-07-08 06:00:00,PO-P01-20260708
S0015,T0018,48433,USD,1.0,2026-07-14 06:00:00,PO-P01-20260714
S0016,T0019,14535,USD,1.0,2026-07-08 06:00:00,PO-P04-20260708
S0017,T0020,14535,USD,1.0,2026-07-15 06:00:00,PO-P04-20260715
S0018,T0021,14535,USD,1.0,2026-07-22 06:00:00,PO-P04-20260722
S0019,T0022,2397,USD,1.0,2026-07-09 06:00:00,PO-P01-20260709
S0020,T0023,2397,USD,1.0,2026-07-16 06:00:00,PO-P01-20260716
S0021,T0024,2397,USD,1.0,2026-07-23 06:00:00,PO-P01-20260723
S0022,T0026,3757,USD,1.0,2026-05-02 06:00:00,PO-P02-20260502
S0023,T0027,3757,USD,1.0,2026-05-09 06:00:00,PO-P02-20260509
S0024,T0028,96983,USD,1.0,2026-07-10 06:00:00,PO-P01-20260710
S0025,T0030,96983,USD,1.0,2026-07-24 06:00:00,PO-P01-20260724
S0026,T0031,5699,USD,1.0,2026-07-10 06:00:00,PO-P02-20260710
S0027,T0032,5699,USD,1.0,2026-07-17 06:00:00,PO-P02-20260717
S0028,T0033,19293,USD,1.0,2026-07-12 06:00:00,PO-P01-20260712
S0029,T0034,19293,USD,1.0,2026-07-19 06:00:00,PO-P01-20260719
S0030,T0035,19293,USD,1.0,2026-07-26 06:00:00,PO-P01-20260726
S0031,T0036,9583,USD,1.0,2026-07-31 06:00:00,PO-P01-20260731
S0032,T0039,14535,USD,1.0,2026-07-29 06:00:00,PO-P04-20260729
S0033,T0040,29003,USD,1.0,2026-07-17 06:00:00,PO-P01-20260717
S0034,T0037,4728,EUR,1.0,2026-07-26 06:00:00,PO-P03-20260726
S0035,T0038,8515,EUR,1.17530,2026-07-21 06:00:00,PO-P03-20260721
